Training Accuracy (p=5, C=2.1): 92.50%

Final Results Table:
Degree_p     C     Training_Accuracy
    ________    ___    _________________

       1        0.1          87.05      
       1        0.6          88.95      
       1        1.1          89.95      
       1        2.1          90.45      
       2        0.1           87.3      
       2        0.6          90.05      
       2        1.1           90.7      
       2        2.1          91.15      
       3        0.1          88.25      
       3        0.6           90.6      
       3        1.1          91.05      
       3        2.1          91.45      
       4        0.1          88.55      
       4        0.6          90.85      
       4        1.1          91.35      
       4        2.1           92.5      
       5        0.1           88.9      
       5        0.6           91.1      
       5        1.1          91.55      
       5        2.1           92.5   
